C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
0.3333333333333333,-0.10344827586206896,0.017543859649122806,0.2549019607843137,0.22413793103448276,0.27710843373493976,0.48883374689826303,0.4578005115089514,0.5987261146496815,0.6170212765957447
0.0,0.4186046511627907,0.2903225806451613,0.45454545454545453,0.28695652173913044,0.2825112107623318,0.43414634146341463,0.5392156862745098,0.5194805194805194,0.6697247706422018
1.0,0.05747126436781609,0.3333333333333333,0.0196078431372549,0.28695652173913044,0.4051724137931034,0.5560859188544153,0.4323607427055703,0.5178571428571429,0.5217391304347826
-0.14285714285714285,0.15294117647058825,0.3230769230769231,0.06382978723404255,0.17647058823529413,0.35344827586206895,0.44522144522144524,0.503957783641161,0.5440729483282675,0.6103896103896104
0.0,0.16666666666666666,0.21428571428571427,0.3584905660377358,0.04424778761061947,0.319672131147541,0.39853300733496333,0.532133676092545,0.5031055900621118,0.656441717791411
0.6,0.08695652173913043,0.2222222222222222,0.23636363636363636,0.2542372881355932,0.4177215189873418,0.39908256880733944,0.4986072423398329,0.5753846153846154,0.6489028213166145
-0.5,0.2,0.2,0.22033898305084745,0.41509433962264153,0.45652173913043476,0.4594594594594595,0.4742857142857143,0.5590062111801242,0.5178571428571429
0.0,0.08888888888888889,0.18518518518518517,0.1864406779661017,0.19298245614035087,0.3445378151260504,0.42857142857142855,0.5618556701030928,0.5663430420711975,0.5855855855855856
0.0,0.12195121951219512,0.13513513513513514,0.16666666666666666,0.30973451327433627,0.2851063829787234,0.44144144144144143,0.5471698113207547,0.5475409836065573,0.6467065868263473
1.0,0.29545454545454547,0.01818181818181818,0.45161290322580644,0.018518518518518517,0.4678111587982833,0.4029126213592233,0.3733681462140992,0.5838509316770186,0.6607142857142857
0.0,0.2222222222222222,0.037037037037037035,0.21875,0.3157894736842105,0.3949579831932773,0.45893719806763283,0.4490358126721763,0.5087719298245614,0.6050156739811913
-1.0,0.06818181818181818,0.2222222222222222,0.13793103448275862,0.3090909090909091,0.3467741935483871,0.43073047858942065,0.568922305764411,0.6025236593059937,0.6452599388379205
1.0,0.06818181818181818,0.19298245614035087,0.3333333333333333,0.3162393162393162,0.27350427350427353,0.38498789346246975,0.5483870967741935,0.514018691588785,0.6460176991150443
0.0,0.20454545454545456,0.03571428571428571,0.27586206896551724,0.3391304347826087,0.2936170212765957,0.44285714285714284,0.4426229508196721,0.5341614906832298,0.6863905325443787
-0.3333333333333333,0.16483516483516483,0.23809523809523808,0.11538461538461539,0.2,0.36,0.4372093023255814,0.4639175257731959,0.564625850340136,0.616519174041298
0.0,0.08045977011494253,0.35714285714285715,0.18032786885245902,0.102803738317757,0.2682926829268293,0.4264705882352941,0.506426735218509,0.5316455696202531,0.6158536585365854
1.0,0.18604651162790697,0.19298245614035087,0.20754716981132076,0.2892561983471074,0.3826086956521739,0.43457943925233644,0.49743589743589745,0.5016835016835017,0.5892857142857143
1.0,0.25842696629213485,0.17857142857142858,0.11538461538461539,0.3728813559322034,0.3333333333333333,0.41920374707259955,0.5278514588859416,0.538961038961039,0.5748502994011976
0.42857142857142855,-0.022727272727272728,0.26666666666666666,0.3548387096774194,0.1559633027522936,0.33624454148471616,0.45495495495495497,0.47480106100795755,0.5275080906148867,0.5936507936507937
1.0,0.12087912087912088,0.16,0.2413793103448276,0.3037037037037037,0.3055555555555556,0.39954853273137697,0.5106382978723404,0.6222910216718266,0.6710526315789473
0.0,0.08888888888888889,0.3076923076923077,0.09375,0.26666666666666666,0.3853211009174312,0.48660714285714285,0.6242774566473989,0.6511627906976745,0.6265822784810127
0.0,0.033707865168539325,0.13333333333333333,0.21739130434782608,0.16071428571428573,0.30980392156862746,0.46568627450980393,0.47780678851174935,0.540453074433657,0.6964285714285714
1.0,0.19101123595505617,0.2413793103448276,0.32,0.44537815126050423,0.3168724279835391,0.3670886075949367,0.44473007712082263,0.5534591194968553,0.6272189349112426
-1.0,0.2413793103448276,-0.06666666666666667,0.3877551020408163,0.30434782608695654,0.35269709543568467,0.39950372208436724,0.453125,0.5138461538461538,0.6417910447761194
0.0,0.2413793103448276,0.40350877192982454,0.2,0.3137254901960784,0.40408163265306124,0.38957816377171217,0.4424552429667519,0.5107033639143731,0.6380368098159509
1.0,0.0297029702970297,-0.1111111111111111,0.21428571428571427,0.38461538461538464,0.4296875,0.42782152230971127,0.4649350649350649,0.5343283582089552,0.7281553398058253
-1.0,0.16666666666666666,0.07142857142857142,0.14285714285714285,0.2222222222222222,0.35319148936170214,0.5750577367205543,0.5400516795865633,0.5432525951557093,0.5975975975975976
