C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
634.9740099862689,788.1873042230169,641.6921036096339,656.9545620347553,593.9861712859235,579.2171946328455,614.228794588525,536.8439393823901,554.5420353853187,553.0532776422035
685.9424427160857,681.5601028870184,627.7375969259962,631.2236710944271,597.4376874483467,579.3173959837846,539.7303377242126,554.6583182440594,548.3999774596608,546.9495002520389
583.5738086310896,733.951409218118,659.5423935308631,637.1131083165673,570.736169876871,582.1140563740769,588.8937000873708,567.9761170956091,553.9748597973935,552.065294674478
653.7418650943389,677.9106707778013,627.349369973846,624.7391682644204,598.103084336839,563.3217945804395,578.8248008261381,550.3647569487429,578.4371759892076,553.7628122689164
778.033678328884,689.5876859011523,643.8043878971235,610.7360303734856,640.7938661029625,586.645803248331,570.381350985667,582.5094915642203,529.1144243303669,548.4571556012502
868.3219983292707,721.947911532256,613.527366571661,582.976835797231,599.4551786729966,560.7067117684365,577.2440026159667,566.8863936626369,534.7749734928868,556.7553629921528
647.9911484619222,728.7304501392032,646.2982344707664,609.1702377579288,588.4432041960262,577.5047764990154,590.3430694573188,564.5771418802284,589.335904397993,537.637060327421
794.6395361509925,682.3804120309803,651.142556544761,596.9404244618495,594.9434118116529,580.8613216165019,582.0056655690419,534.8949672028505,559.5891526029563,562.2803448544752
816.6150625948316,670.4705606159138,650.8496134219919,582.8320127276455,605.7586498400022,596.02431363021,608.5992211324897,596.4851200676297,605.1332295067226,541.0863479628101
794.6056188308113,690.884296613109,639.6713822177169,584.6673156468611,578.9885180890125,565.4305070314036,580.7458560822937,607.3146700233073,560.5202094698515,559.8963631849381
706.8043051043189,646.903441243574,612.2289465895216,589.5343311319166,592.7405535303847,556.220308350381,550.4273199769844,569.2919359031299,583.9517703337629,541.6609934283588
695.5904631082375,688.2234545792635,634.6895301885653,590.2255548274632,560.2425415597289,585.3146414364749,609.1562308609115,566.0767297683814,586.9135021551011,554.720254745605
698.683486972217,716.6320065836337,638.6058803856158,600.6833011902377,595.318368157702,571.5517353756713,563.8143092113436,593.5303058495463,572.4515591199223,569.2946023916596
614.2761113958964,649.360042270468,637.6289024165429,573.2452825429415,593.8307804625872,572.4887364190469,605.7620065645646,567.8246036093648,563.9811982455292,568.5975117248231
634.5126568521114,702.9022011800139,658.8669862504053,606.2525843521696,572.9212660945722,557.4544328060679,582.7631176179752,563.9600848508476,570.0456319440002,565.23971402233
500.1979022156743,623.2785757704469,638.1788985374471,585.5037893154732,602.1663309237798,574.1676448866077,581.8474792532841,595.2741517469024,569.1909653442382,540.4368088722574
504.2977978902844,699.5265341288422,643.6514388255326,608.9491239484288,589.8613101342416,571.7999659044883,541.5927487419723,550.1740566091152,567.3084325026803,538.0158652485854
827.7764104060266,700.0357790317314,655.4340655305514,588.2023248242808,577.4270096880695,564.8527443457724,571.2761173198049,576.7791772905854,538.0713393011197,555.1176275155933
645.794706322213,728.0650802103058,624.4303413138861,591.2446770307389,573.891201900329,561.5332170417499,597.601654815767,564.22673531216,569.1829605928755,542.1696897526429
760.3993226821831,706.5892848704551,633.5794059037631,584.6258958903312,586.3675389687419,567.1166515612157,608.51338607293,543.6445012986184,566.2788731683946,568.8993702696846
