C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
625.8204505872354,544.2551131477969,521.39425656808,512.5507443588721,494.14760653820485,533.8595206205879,470.1713505598484,482.9045843552144,479.1900086718056,467.2313534187411
594.6682248086405,544.2158639349232,533.8302736029382,504.93025026385936,496.1093127194404,492.9093967135616,471.02133275849036,497.9674564494168,505.60655220204416,465.71114408560453
673.1430096013,596.0565699131589,545.4835995910666,516.9498772603082,517.3347615347858,481.75000394382903,471.2353931748087,473.5239424317462,499.7127501429227,459.0486171780982
586.9178833312396,559.6486597075059,505.62698927024036,487.27061949351787,509.7791888880482,541.4707241378111,461.6956031524198,472.51496000883844,495.77755866244314,470.1311960810611
548.7161667790728,571.9916567515858,528.9039545786299,509.9279934072086,528.1569501001791,496.2064231898707,518.0320431847476,508.1265876830626,486.77435877795716,471.1014215625188
1002.3908894878275,582.63287292634,512.4041146591366,506.9014674588208,489.57087315760214,491.9536778052325,498.24152009241504,474.2087550989242,492.47692825129326,464.5219085344798
696.4972557252144,564.6048305969477,517.2189161188376,517.9031975548743,469.5204115035952,495.8309747582751,555.9401956162571,463.4580191501188,501.8259820277499,459.9164147834423
618.7451929066224,609.0981276119343,534.5315692785556,507.21135210977064,467.9600125502208,482.2909680555512,486.94948879355275,459.9836174173595,465.3338716456956,469.5339186327239
561.8176468458828,575.2740649611526,516.9836533549488,486.208628702861,478.3966951541286,487.17703993813046,493.5711253213404,528.2210432024226,475.9842392733664,463.58723597266646
628.7203031957046,587.0660714633476,528.1184397640363,502.9505781153704,508.1879631078959,468.21154581467675,513.1374542938676,531.6261778000454,488.94019349992004,465.763267011968
588.6561376565968,567.3052535447146,537.8842613202556,515.8476029703763,464.35899355019956,501.04636710534635,491.5014105120798,491.4036078505664,489.0531462055167,464.97619163990913
776.2933876315731,553.2129011226931,536.3808830902229,507.212096699371,503.9891814655169,483.820491299469,492.01298978532475,513.9995260335694,484.00985427417334,463.56368384157446
423.9712577004914,576.1435368970872,548.3027371047094,513.4439914292595,449.8588688517394,478.7991024452273,497.5144578960941,514.3994832010989,474.28710053764775,459.56884310959697
560.9467205196556,579.883888645507,558.117075592692,516.2232507900143,532.6803161343297,466.68614268239594,486.9049090713593,504.29326633427746,484.91257347710683,470.07806469613905
629.6728107747664,573.9427271812255,554.6733071960371,536.3393167196584,500.6111341470599,484.22162678292403,486.2756802406918,505.4508065347254,478.35968569499613,459.272647307944
579.2962188329902,575.1616257040298,527.8965127658372,522.7180135393279,501.66177545807676,537.0457988055585,492.53387808164973,486.23742218657355,490.36624824896734,462.8068415294039
449.7149454346749,545.9786214597925,522.3952631388112,526.4083123796438,539.8071682586354,477.3440385556745,482.9391574778004,462.2396135994292,497.15612835605873,465.3797036544771
644.3207249324435,589.5656074793293,532.8923894236071,485.31786756264785,555.3066087265478,483.44461558982727,489.5770953404486,474.71084833367047,478.2544584961749,471.0230311345319
650.3762326050377,587.4720229248926,524.0997720191674,502.87512059812747,477.0431134686417,530.2174225127877,476.87903538889793,526.0677985594991,480.5700658371455,474.76529294080615
970.0846163619891,584.0061612114044,516.755091755497,515.530977874524,479.1334563871283,514.9969925066923,498.76569473799793,480.24772303546655,479.80123363212306,462.60791170816526
