C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
802.916870278396,NaN,719.2946971474279,645.3558844798708,578.3555676360494,597.85679396764,556.9043550733209,544.9955329435683,516.8024787156389,NaN
598.8767163605163,NaN,639.676988482324,638.2473992624331,607.615752713958,587.3737528974733,552.6065512135757,534.3943712037701,534.3074794774765,NaN
830.8160651010802,NaN,657.1723618547522,635.5254187208159,606.4933852787833,568.227954022716,561.4119721906695,536.0179882727058,527.2455757828403,NaN
660.6448107815805,NaN,680.9160796053867,632.2742943481052,599.3117704984879,579.1330790585888,565.1048544858818,538.838580927293,513.9326213847093,NaN
763.2605140969348,NaN,728.7197119551545,617.5966089091856,594.2565227951633,604.5466985374686,555.0856316606624,536.8726569137505,529.4270093154446,NaN
708.0743853243631,NaN,682.4625860411818,642.5620114741944,579.5012838182315,573.7852907552461,561.4150690471922,549.2337703514468,510.899174545122,NaN
654.8051051597641,NaN,665.5409417947556,653.435619038074,625.2541058579349,572.0618666736823,564.5409931140917,531.0117404099769,524.6308470138842,NaN
596.6519097434108,NaN,679.8810023160864,613.3822277120616,611.4485942382541,579.9963975825397,559.4131971676269,536.1701694942341,525.3293830645897,NaN
671.4982715917087,NaN,681.2713735679988,618.7133787583651,606.7667452333616,583.618673482533,561.617791506967,537.9132268036697,504.1868936285294,NaN
724.0174279403883,NaN,719.4880552591175,636.0389232879864,608.2745151539403,583.0580081517577,583.0324242608397,548.1731089797477,479.88050516877746,NaN
711.1419426109595,NaN,674.1529911260066,624.2039681202575,605.4747568105148,557.4402784010113,560.7079774693624,539.9389716763546,508.7915273277133,NaN
643.2345722327602,NaN,686.6929840567659,623.7274538506829,588.6651190642974,565.4635226143596,549.7580195345349,531.8334156734861,507.9212343064146,NaN
709.2671712781564,NaN,674.847987231375,645.2265739276778,603.8692827888009,586.4409130897681,550.5091277999024,537.5117156968769,500.1366259670688,NaN
595.4226744560185,NaN,695.7387688872267,646.5286048730117,615.6503011975637,604.1815001265602,556.9008965913906,534.4278808525197,506.1491415375733,NaN
725.2329242081213,NaN,726.3541377381915,611.0688010239148,608.4261027588826,595.1125327889587,553.8352237863288,541.3910948024242,527.8674243869236,NaN
637.9643079049208,NaN,693.3721755067324,638.600502847523,591.9603335551061,585.5074754023218,557.3903444994745,537.0287173867258,516.532734397182,NaN
674.2961277292583,NaN,685.2371004924081,632.5321086194107,618.3937723496679,573.059746092673,564.7279164744721,544.1247476624917,523.4277924025396,NaN
701.0892182127963,NaN,711.2954219814782,659.6086222810861,609.9501702981324,582.5640562851627,562.6075720695237,543.349105471393,543.447842963864,NaN
646.0271926671942,NaN,687.0417010565077,621.876946185366,609.0772338947143,565.5640587738792,566.3899168207312,543.7723875733458,540.6739894630799,NaN
654.8983196447622,NaN,685.0799319842357,644.7326395665006,591.2862326285717,585.0817120670541,554.4246215568431,534.2730878254165,533.5455308936345,NaN
633.080140158176,NaN,699.4628433116577,628.248929207496,594.2716177823174,563.9969270417374,544.9496422486553,541.7230655131489,535.3242727743904,NaN
868.6999611558209,NaN,637.2448121913162,629.2187137458396,601.9777944577755,586.8481234074019,545.2942023774139,533.021402924655,540.5799672092568,NaN
677.2324865024666,NaN,698.5076211021019,624.6943368280342,586.2054078317616,589.0238559669272,561.3158651314992,531.8431329390085,516.6708920826092,NaN
643.8444303021496,NaN,680.4690018287729,627.4979577681967,575.1916364409384,585.046769471707,556.8937702782316,532.0041721547271,513.33757182166,NaN
624.1396382224544,NaN,679.6555785629846,626.4878101643504,604.6465231605566,570.9506656061961,554.637911230215,537.4715512775874,529.6220785650826,NaN
774.0149966086368,NaN,671.1917048141951,647.3754604259541,606.43481894161,588.5976857911006,561.9473346870479,542.126427203252,514.3947835614913,NaN
576.7217615249662,NaN,682.9548128786627,619.6928358147153,610.4890462347398,580.7174961821785,554.7159096677364,529.6742140731186,531.1521477734112,NaN
685.340240231475,NaN,710.6362814993693,626.031445645432,610.1200448012727,578.5740128313558,555.0113426172468,538.9839459493577,494.33603747063484,NaN
565.8922209582818,NaN,705.3478323200543,639.2265404185148,622.7486072799694,579.2737938352063,562.9140495396106,538.335753834333,555.9610158828172,NaN
648.4501668554386,NaN,692.7707682917832,631.6022341362969,605.0555139431523,576.3169989883505,560.5350751790402,544.1122055649124,525.0299825855964,NaN
559.0056883832916,NaN,703.8475562917105,618.0084546364272,597.768177458403,596.8966120322008,558.590974635177,542.8038636217442,521.371984927811,NaN
681.2129403544059,NaN,727.4017229329885,630.6364418741842,600.7138611705018,557.5794318569722,545.5731555520151,538.7588522634018,503.54470208264223,NaN
703.09535320492,NaN,693.7663448889217,613.295730030417,596.7054268964013,573.7972820415508,564.2930822164966,552.7028952261428,522.988570582895,NaN
568.5470253140231,NaN,711.544356556946,626.6214344891781,589.1854027972599,609.7742744954594,550.1039405332637,544.0003678666039,508.4628225591505,NaN
648.1729754523792,NaN,722.7588446491025,621.7590971480919,594.8316800981327,570.9419186912182,558.9990441744272,533.8417429670226,512.8828660493897,NaN
631.5950381733037,NaN,674.9699144608563,635.0417001804145,606.6992769600131,582.3236675352175,552.982773981299,544.931097254246,535.5564534224835,NaN
690.538213584157,NaN,669.0113704272087,632.9469453139382,615.0064469429573,577.6975687625226,571.6315084221328,544.5878681442207,496.8871698285964,NaN
638.4294021165188,NaN,689.4058095555879,616.1798815217106,600.0811304818005,594.7685395217151,571.9578875343996,535.1986377177672,522.1980505203371,NaN
759.2266175459807,NaN,667.3388084595324,648.8043756411154,603.1255716364197,562.4602794033583,544.2159080867892,533.242841628938,518.2255715233093,NaN
